Player,Country,Agents,NumAgents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Mochi,US,"clove, raze",2,31,365,3,87%,244,1.45,0.16,0.23,0.03,29%,75%,03-Apr,28,45,15,5,7,1
sibeastw0w,RU,raze,1,41,344,2.25,73%,215.3,1.32,0.15,0.27,0.07,21%,,0/2,28,54,24,6,11,3
yaggert,ES,cypher,1,39,307,2.56,74%,190.5,1.18,0.23,0.1,0.08,36%,50%,02-Apr,26,46,18,9,4,3
reos,DE,"astra, omen",2,33,241,2.14,88%,152.1,0.91,0.61,0.03,0.06,35%,67%,04-Jun,17,30,14,20,1,2
CHAROD,US,"cypher, clove, chamber",3,91,343,1.75,86%,210.5,1.23,0.23,0.16,0.05,40%,14%,Feb-14,30,112,64,21,15,5
Twirly,PH,"omen, viper, tejo",3,148,304.5,1.86,81%,189.1,1.14,0.37,0.16,0.08,32%,32%,Jul-22,25,169,91,55,23,12
Pa1ze,DK,"raze, jett, neon",3,63,348.7,1.8,73%,212.4,1.25,0.11,0.25,0.19,34%,,0/3,39,79,44,7,16,12
TIGR,UN,"jett, iso",2,46,354,1.46,67%,228.6,1.17,0.15,0.15,0.13,26%,,0/5,28,54,37,7,7,6
Luc1F3r,HK,"viper, killjoy, cypher",3,59,304.7,1.53,71%,208,1.12,0.19,0.15,0.1,56%,20%,02-Oct,36,66,43,11,9,6
Hyperzxz,WA,"yoru, raze",2,46,331,1.71,76%,210.3,1.15,0.22,0.24,0.17,28%,,0/3,29,53,31,10,11,8
jzn,BR,"raze, jett",2,59,305.3,1.78,85%,179.6,1.08,0.14,0.24,0.07,29%,50%,03-Jun,25,64,36,8,14,4
miNt,KR,"yoru, jett, iso",3,149,303,1.8,80%,190.6,1.1,0.26,0.28,0.08,34%,,0/4,28,164,91,39,42,12
ira,UN,fade,1,70,251,1.77,80%,167.3,0.99,0.33,0.07,0.06,39%,33%,Jun-18,35,69,39,23,5,4
doffy,TH,"jett, neon, yoru",3,86,289.5,1.58,74%,185.5,1.05,0.15,0.2,0.03,31%,12%,Feb-17,36,90,57,13,17,3
chícken,UN,yoru,1,74,314,1.48,76%,195.7,1.08,0.22,0.28,0.12,17%,36%,04-Nov,34,80,54,16,21,9
NOVAE,UN,"raze, yoru",2,73,321.3,1.48,79%,205,1.14,0.15,0.3,0.1,30%,25%,02-Aug,37,83,56,11,22,7
NoMan,HK,"killjoy, raze, deadlock",3,90,226.8,1.37,74%,185.5,0.82,0.14,0.21,0.09,31%,,,23,74,54,13,9,4
Euii,UN,"vyse, cypher",2,33,242.5,2.2,91%,157.6,1,0.15,0.06,0.03,34%,,0/1,17,33,15,5,2,1
ShoT_UP,US,omen,1,41,302.5,1.43,76%,184.6,1.05,0.29,0.15,0.02,32%,,0/5,28,43,30,12,6,1
romaN,AU,"jett, raze, iso",3,75,286.7,1.42,77%,195.1,1,0.23,0.2,0.13,26%,29%,02-Jul,26,75,53,17,15,10
Allen,JP,omen,1,45,271,1.56,76%,164.1,0.93,0.4,0.16,0.09,26%,17%,01-Jun,22,42,27,18,7,4
Demon,DE,sova,1,23,298,1.5,78%,196.2,1.04,0.17,0.04,0.13,51%,25%,01-Apr,24,24,16,4,1,3
clove,UN,phoenix,1,32,275.5,1.94,75%,172.9,1.03,0.41,0.19,0.13,28%,,0/1,21,33,17,13,6,4
Zoue,UN,"cypher, killjoy",2,42,290.5,1.47,64%,173,1.05,0.21,0.19,0.07,31%,18%,02-Nov,25,44,30,9,8,3
blxssom,CZ,cypher,1,22,195,2.13,73%,130.3,0.77,0.41,0.09,0.14,10%,50%,01-Feb,17,17,8,9,2,3
xsus,NZ,"fade, sova",2,41,243.5,1.7,78%,159.9,0.95,0.17,0.07,0.05,36%,60%,03-May,20,39,23,7,3,2
Serenity,AT,jett,1,23,302,1.39,83%,0,1.09,0.17,0.13,0.04,35%,,0/2,25,25,18,4,3,1
bangz,LT,"kayo, yoru",2,62,274.7,1.48,68%,168.3,1,0.24,0.21,0.1,28%,,0/9,24,62,42,15,13,6
myst,UN,"vyse, viper",2,41,280,1.27,73%,178.9,1.02,0.22,0.07,0.12,40%,21%,Mar-14,22,42,33,9,3,5
Winteryrook,BY,"fade, deadlock",2,41,247,1.64,80%,148.7,0.88,0.46,0.22,0.07,22%,,,19,36,22,19,9,3
Demiurge,SE,"jett, iso",2,39,310,1.38,77%,220.3,1.03,0.44,0.28,0.13,24%,,0/3,24,40,29,17,11,5
Depyro,EG,"phoenix, sage, skye",3,103,267.8,1.37,77%,169.6,0.93,0.39,0.13,0.09,27%,10%,01-Oct,23,96,70,40,13,9
aDrijuxaZ,LT,"cypher, viper",2,61,258.7,1.49,72%,165,0.9,0.28,0.08,0,34%,9%,01-Nov,21,55,37,17,5,0
kinho,BR,jett,1,23,279,1.31,57%,188.1,0.91,0.17,0.22,0.26,17%,50%,01-Feb,21,21,16,4,5,6
ninsky,DE,raze,1,28,282,1.35,71%,190.1,0.96,0.29,0.21,0.14,24%,50%,01-Feb,27,27,20,8,6,4
A1MBOT,UN,omen,1,36,278,1.62,78%,172.1,0.94,0.53,0.08,0.11,32%,,0/5,19,34,21,19,3,4
Valone,FR,"omen, astra, fade",3,155,254.3,1.52,77%,170.2,0.94,0.25,0.1,0.1,49%,40%,Jun-15,34,146,96,38,16,15
StarBound,CA,chamber,1,277,240.8,1.63,77%,148.6,0.91,0.15,0.16,0.05,16%,16%,Aug-51,38,253,155,42,45,13
FirstLove,SG,"jett, raze, neon",3,155,271.5,1.47,77%,173,0.94,0.13,0.19,0.13,17%,17%,Mar-18,29,146,99,20,29,20
Ayumiii,MY,"neon, jett, yoru",3,416,280,1.57,78%,173.7,1,0.24,0.25,0.11,23%,21%,Aug-39,26,416,265,99,102,47
b0ngg,UN,"raze, jett",2,66,318.7,1.3,73%,206.8,1.05,0.17,0.33,0.21,30%,,0/4,30,69,53,11,22,14
etn,FI,sova,1,21,252,1.36,67%,168.8,0.9,0.05,0.05,0.1,28%,40%,02-May,19,19,14,1,1,2
tok1o,AR,"raze, jett, neon",3,441,285.9,1.42,74%,180.5,1,0.2,0.19,0.13,27%,18%,Jun-33,32,440,310,90,82,57
Eagle,FI,"jett, iso",2,57,278.3,1.62,82%,165.9,0.96,0.32,0.12,0.12,17%,,0/3,22,55,34,18,7,7
SecondLove,PH,cypher,1,45,241.5,1.41,78%,164,0.91,0.13,0.07,0.11,37%,18%,02-Nov,21,41,29,6,3,5
Raven,MX,"cypher, viper",2,207,239.1,1.44,73%,146,0.9,0.26,0.08,0.1,35%,24%,Aug-33,28,186,129,53,17,20
Kazuki,UN,"jett, clove",2,38,292.5,1.46,74%,188.9,1.08,0.11,0.24,0.08,38%,40%,02-May,21,41,28,4,9,3
alyssa,TH,"viper, yoru, iso",3,128,258.1,1.63,78%,168.4,0.93,0.22,0.14,0.11,45%,38%,03-Aug,22,119,73,28,18,14
mavi,DE,breach,1,22,292,1.62,73%,181,0.95,0.45,0.18,0,11%,,0/1,21,21,13,10,4,0
